analysis_label,antipattern,eligible_source_role,repository,eligible_files,flags,flagged_files,percent_eligible_files_flagged,flags_per_100_eligible_files,flags_per_flagged_file
Implicit Columns [application/query source],Implicit Columns,application/query source,DiSSCo/dissco-core-annotation-processing-service,18,9,4,22.222222,50.000000,2.250000
Implicit Columns [application/query source],Implicit Columns,application/query source,DiSSCo/dissco-core-backend,15,9,4,26.666667,60.000000,2.250000
Implicit Columns [application/query source],Implicit Columns,application/query source,DiSSCo/dissco-core-digital-specimen-processor,10,5,3,30.000000,50.000000,1.666667
Implicit Columns [application/query source],Implicit Columns,application/query source,DiSSCo/dissco-core-translator,10,5,2,20.000000,50.000000,2.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,DiSSCo/dissco-data-exporter-backend,5,5,2,40.000000,100.000000,2.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,DiamondArt/Java-jooq,2,4,2,100.000000,200.000000,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,DmitriyKosolobov/java-course-2024-backend,6,6,3,50.000000,100.000000,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,DrBrother/notification-system,6,5,3,50.000000,83.333333,1.666667
Implicit Columns [application/query source],Implicit Columns,application/query source,DragomiroiuStefan/rideshare,17,4,4,23.529412,23.529412,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Drewbie18/spring-rest,5,2,2,40.000000,40.000000,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,E1psycongr00/STUDY_REFERENCE,3,1,1,33.333333,33.333333,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,E1psycongr00/study_jooq_codegen_with_flyway_jpa,3,1,1,33.333333,33.333333,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,EHRoute/EHR-Route,4,0,0,0.000000,0.000000,
Implicit Columns [application/query source],Implicit Columns,application/query source,Efler/microservice-data-bus,7,3,3,42.857143,42.857143,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Efler/telegram-scrapper-bot,6,4,3,50.000000,66.666667,1.333333
Implicit Columns [application/query source],Implicit Columns,application/query source,Eliorika/tinkoff-java-backend,6,5,2,33.333333,83.333333,2.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,Emented/webLab3,4,3,2,50.000000,75.000000,1.500000
Implicit Columns [application/query source],Implicit Columns,application/query source,EngineDevOps2/programming-todolist-fullstack,1,2,1,100.000000,200.000000,2.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,EuphoriaV/UpdateMonitoringBot,5,7,3,60.000000,140.000000,2.333333
Implicit Columns [application/query source],Implicit Columns,application/query source,FOKO-KENMOGNE-Wilfried/siggeac_prototype,5,1,1,20.000000,20.000000,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,FeKom/lab-ecommerce,1,1,1,100.000000,100.000000,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,FeldmannJR/constellation-common,9,0,0,0.000000,0.000000,
Implicit Columns [application/query source],Implicit Columns,application/query source,FeldmannJR/redstonegang,81,48,28,34.567901,59.259259,1.714286
Implicit Columns [application/query source],Implicit Columns,application/query source,Fics3/tink_java_backend_course_spring,10,11,7,70.000000,110.000000,1.571429
Implicit Columns [application/query source],Implicit Columns,application/query source,FilippoBolis/MED_Progetto_Ing_Software_23_24,25,1,1,4.000000,4.000000,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,FrankChen021/bithon,76,28,13,17.105263,36.842105,2.153846
Implicit Columns [application/query source],Implicit Columns,application/query source,FrankChen021/bithon-demo,2,1,1,50.000000,50.000000,1.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,GAIM-Tech-OM/killbill-ompay-plugin,2,7,1,50.000000,350.000000,7.000000
Implicit Columns [application/query source],Implicit Columns,application/query source,Gabriele-Mazzoleni/SmarTrip,4,0,0,0.000000,0.000000,
Implicit Columns [application/query source],Implicit Columns,application/query source,Garrettc96/cacophony,30,13,6,20.000000,43.333333,2.166667
Implicit Columns [application/query source],Implicit Columns,application/query source,Geomatys/examind-community,43,140,25,58.139535,325.581395,5.600000
