repository,relative_path,source_location,source_role,bytes,nonblank_loc,sha256
ABCLV/ABLV_IngSW,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Concorrente.java,src,generated schema,6089,170,fe6e3ad4e8f91ee8578fd49f34cce22e101d4ccfdce9aad91cac3c07c0b392ef
ABCLV/ABLV_IngSW,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Contratto.java,src,generated schema,6443,179,da1215e0ae8a8eac87d1d8fc8ef5ecf5141bcaf64ef70921f4482e6d3d23e69b
ABCLV/ABLV_IngSW,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Gara.java,src,generated schema,9833,246,edd05026742f43eb98a85a4b82c1d96f076a3f4a474531ec8452569e2568ef73
ABCLV/ABLV_IngSW,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Iscrive.java,src,generated schema,6059,175,cfc26b85fbf0f4de8f2dcedbe6ba865ee156bb1c204b1f031187828720521482
ABCLV/ABLV_IngSW,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Partecipa.java,src,generated schema,6186,174,f0b2951312755c620697a5fead100993b383d155822c35f852760e0f9de658cc
ABCLV/ABLV_IngSW,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Recensisce.java,src,generated schema,6401,178,3fe783ed400cc8fbcd6ef0c310cf7e304b9f652effb0b452992bbbb788198df6
ABCLV/ABLV_IngSW,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Sede.java,src,generated schema,4696,146,026c41df5b82b52a5c772f3dd9f04b53f19aece07a7052edd1cb3da03cf57250
ABCLV/ABLV_IngSW,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Settore.java,src,generated schema,5365,161,3ec9b1c76d9925b524174126ca2cbead77f077e6ed0186832ed166c216c65510
ABCLV/ABLV_IngSW,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Societa.java,src,generated schema,5059,157,6ee8259da65e6aa255edd74ba74720017b2df2ce8c08437b9088d36d57fa986e
ABCLV/ABLV_IngSW,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Sponsor.java,src,generated schema,4567,142,40a8b62ccc73d0bdd85e15faa75bb54066fd8de6a81dd1bf1206f85aef03c297
ABCLV/ABLV_IngSW,ABLV_IngSW/src/generated/dbconSQLJOOQ/generated/tables/Turno.java,src,generated schema,5766,174,b2386b8167e077027c01edc7a00c25cf850c4b06f71acfe0085e8278a1dce7be
ABCLV/ABLV_IngSW,ABLV_IngSW/src/main/java/database/Consultazioni.java,src,application/query source,4645,122,a47c8eb38ec44be96fef4ccd863fa3f60e83b81284a9dbac3b19b56e150652e7
ABCLV/ABLV_IngSW,ABLV_IngSW/src/main/java/database/GenerateJooqCode.java,src,application/query source,1079,22,8570e3c39a0d731571deecb8174e7561c89be8eca1cfd674e03d0ad44ae04dd5
ABCLV/ABLV_IngSW,ABLV_IngSW/src/main/java/database/PopolaDB.java,src,application/query source,5441,107,64ee9d24967f41028bcef6f673bb85fbc9b87dc711a0fcfba178e25ad2c5be05
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/admin/mapper/HotelExportRowMapper.java,src,application/query source,6438,109,ed89a3e3252b0d0c91fbdd9a1791943e7f7a9ef2efb8320983b810b43e4e85be
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/admin/mapper/JooqRoomNotFullRowMapper.java,src,application/query source,651,16,94901ad23ab9dbbc24bd51b442f22276c4811df7f4efc2eb02a923c4689f3fe1
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/authentication/mapper/JooqAuthenticationMapper.java,src,application/query source,1063,20,7af371896914bb9e592562902715680c0dc1e93757803071aae2617a2edeae91
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/badge/action/updateUserBadge/JooqUpdateUserBadgeAction.java,src,application/query source,911,25,4f4f6bf5e73b862722f498186d3c42b5b31d5d6583a2ba39d2adab3db23852c5
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/badge/finder/JooqBadgeFinder.java,src,application/query source,11228,266,5d12d08dba56426dd91cfb90100fd6e7527bb4e7e51e750acb2e330572a9e8e4
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/badge/mapper/JooqBadgeToPrintMapper.java,src,application/query source,1856,39,8ee9feb5251e9a73cede0185aa501b561291003ea6a6dc8e0df31539e0146fc0
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/fursuits/action/bringFursuitToEvent/JooqUpdateBringFursuitToEventAction.java,src,application/query source,1657,42,1d4658d7f168794b9ca20b08b491f2dfa0a0fc90b42e19ee9a9676bee279a3ba
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/fursuits/action/createFursuit/JooqCreateFursuitAction.java,src,application/query source,1973,54,afe1f1832a7540ddc69d96f9c6403f6b6d7ff8ec2e2494bed0eb4735ef280af1
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/fursuits/action/deleteFursuit/JooqDeleteFursuitAction.java,src,application/query source,726,19,beccd26964c8046c3827af198368e2e21297550a8e6349ea7f28e01edee6c4c8
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/fursuits/action/setBadge/JooqSetFursuitBadgeAction.java,src,application/query source,974,25,18e0a4f7c7d40e0749797e97de27037d3ffea0a22bf8118f3f3301a858de4bf9
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/fursuits/action/updateFursuit/JooqUpdateFursuitAction.java,src,application/query source,1135,27,0510c6f4160b00cd2c0cc5837e16531088deb1b0dbd297803b7fdecaf06aa137
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/fursuits/finder/JooqFursuitFinder.java,src,application/query source,7817,189,4f3387c9b13e3678d140aa2ea38d8e534f90d9082d47257a6894632d9b333d31
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/fursuits/mapper/JooqFursuitDataMapper.java,src,application/query source,1134,26,8d0888d44311e0dbd44e04ca479709465ea2ea324ff94c659e419bbf46bc08f5
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/fursuits/mapper/JooqFursuitDisplayMapper.java,src,application/query source,2028,42,dc6b9544346161c1240be0edb5a029394ac15569a627000cf1b79f58c5669158
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/action/addMembershipInfo/JooqAddMembershipInfoAction.java,src,application/query source,3782,75,e850fd9cd8500f8796eb3639b3393a5cd04de2ea199ebf52364b59db0eda284e
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/action/createMembershipCard/JooqCreateMembershipCardAction.java,src,application/query source,2555,58,7143ad59c462f86167aec416235a16843744182d46c1cf0045131598418c9f41
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/action/deleteMembershipCard/JooqDeleteMembershipCardAction.java,src,application/query source,3079,56,f631aba84ab5e859a46a8cc5bb5e9c5c50da0d3ef4bab4491e4d71865d3a0704
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/action/markInfoAsUpdated/JooqMarkInfoAsUpdated.java,src,application/query source,956,22,05d0aec38b89bbbef7fa3cb787c4348e3f4a2118940194dd1bcec400be5e13ce
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/action/setCardRegistrationStatus/JooqSetCardRegistrationStatus.java,src,application/query source,1106,26,c52b533586ed8536cb698ed1c742967760829b75cf320b6b133ad6d05ab609f9
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/action/shiftEnumerationOfCards/JooqShiftEnumerationOfMembershipCardsAction.java,src,application/query source,1809,41,bc9b74b7e2ab21481ba81e7587aa067d3f97240aed0b532fefbeb1f0c6878f2c
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/action/updateMembershipInfo/JooqUpdateMembershipInfoAction.java,src,application/query source,3337,46,8983e11306d2ccfd805074cff3b6063de2a3a2076e08e0ccef7f3e9096b3239c
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/action/updateMembershipOwner/JooqUpdateCardOwner.java,src,application/query source,1033,25,16f648a8354056a70c59a3551089a0a56f945c5098c61dd14e77586d1dd0a7a1
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/finder/JooqMembershipCardFinder.java,src,application/query source,9957,224,6c6387faf7de9498a1f42c5ac700d1116f6dcad1b6d5f5629ebb8f3e88589807
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/finder/JooqPersonalInfoFinder.java,src,application/query source,3481,76,edf0fae16a2a0380d11873b1ef547604991172a1c648e025aa0e368f3a4f018d
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/mapper/FullInfoMembershipMapper.java,src,application/query source,881,19,9c2ed4685a27b9cfb10657750a88a2dd5b1b2d3d70e1697574ae7db5c04e98cd
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/mapper/MembershipCardMapper.java,src,application/query source,771,18,b45e57e4aa0f4adcfdf07e041fd5964b9318facc495119fcba7c2e097de206fd
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/membership/mapper/MembershipInfoMapper.java,src,application/query source,2328,38,25ce5f62e001d776c01fd6349a9b1cf015144153e3c04a4eec14e1296f620d3d
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/nosecount/finder/JooqCountFinder.java,src,application/query source,6982,176,9dd0840b3114e7dca72388e16ad62b623ee25591c34dbfd18a74236057bafe1c
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/nosecount/mapper/JooqAdmincountObjMapper.java,src,application/query source,690,15,bd301c8f9a1e16a98cab3a927a1e169d497049dc4db44ffec2fc55122fac2bdd
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/nosecount/mapper/JooqNosecountObjMapper.java,src,application/query source,1926,32,2236c6be32c785224a289443665a63191d976a709988da3f112e830413443c28
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/pretix/objects/event/action/insert/JooqInsertNewEventAction.java,src,application/query source,2113,52,b6c2dd1cf7ecd216ff1018f93a3aa10ef5331f70eff5a066623d2a75edcb5bc1
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/pretix/objects/event/action/update/JooqUpdateEventAction.java,src,application/query source,1743,37,632d2e0635f8f65303baa32852c796d87d44cec4a78a8ecc7dba792ec5541bc4
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/pretix/objects/event/finder/JooqEventFinder.java,src,application/query source,1944,53,3f7324bed0266c907735c9eb6e2f1b1cf7988125f48bbc123dc07830ad05a947
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/pretix/objects/event/mapper/JooqEventMapper.java,src,application/query source,2278,50,2263d6b940b015d9053750510cbf48bafc59e43d6c029e10bd0266ec4b634972
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/pretix/objects/order/action/deleteOrder/JooqDeleteOrderAction.java,src,application/query source,3357,88,e0d808e1a281cd6298a4076facae87f520867eb7463bde7a160e6f8e6cfc8254
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/pretix/objects/order/action/updateOrder/JooqUpdateOrderAction.java,src,application/query source,4087,72,a7ecf7a9d01babbd99b97cf1ddc42b1bc2b26a44e98f79cc2344a3792d78d2c2
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/pretix/objects/order/action/upsertOrder/JooqUpsertOrderAction.java,src,application/query source,8778,188,31a35b78b5ce849da480fe6beaf52425f7c43cfaab6d738d9b102245f4f8a37c
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/pretix/objects/order/finder/JooqOrderFinder.java,src,application/query source,13694,314,f974720ddc8737d93d365a0d4c0bd6f344bd9fa89f7a1ce9a4255e45606234aa
APSfurizon/fz-backend,application/src/main/java/net/furizon/backend/feature/pretix/objects/order/mapper/JooqOrderMapper.java,src,application/query source,4860,84,04d8b1378ba081449bbef57015f5479c31abef45773a7f339fbabdf6439bf0e7
